,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
4317 | 478.9753mz | 4.15min,,,,,49.42,,,,,,,,,,,196.9,,,,,,279.9,,305.7,,,,,286.3,,,1312,,,1988,,,,,,,1610,396.9,224.2,,,,,,,760.9,,,967.9,,,,,187.3,,1638,,,,3289,,,,,,,,,,,,,,,,,883.1,,,,,,,,,,,,,,731.1,,,,,929.4,,1437,1435,520.6,475,412.5,,,,,254.5,
4318 | 358.2169mz | 4.16min,,,,,,1118,1004,829.5,954.6,1040,1872,,2343,,,,6145,,249.1,,7253,,2228,567.3,222.8,,831.3,7071,,,7147,2833,,,,,5280,7474,2934,,6630,1342,,241.9,,,,,,,,,,2785,,1846,5708,1572,701.7,,1265,,8021,5937,,7879,5205,988,,2689,320.6,,430.5,4003,2451,,5729,924.6,1812,3308,1211,3061,,9910,,,,,7473,,,,5967,10800,705.6,,366,9816,621.5,21220,,1815,1337,,,,480.4,7548,1389,756.5,,1069,
4319 | Ala-Pro | [M + H]+,,,,,,120200,124500,117600,124000,122000,99540,201400,95890,89290,220000,39410,104800,99950,54650,115700,865300,90720,90490,50710,249200,207900,103600,260600,52470,90020,140700,159500,86430,91030,121300,108600,711400,284000,683700,126700,783800,82670,116400,123400,85480,115700,252000,86290,95160,196900,116300,96040,43430,165600,233100,109300,289300,100000,52080,54140,84450,121200,693500,106200,120300,860700,723800,261700,91790,103800,211700,95540,55420,137300,93120,111400,787600,126100,105400,107900,93760,158500,84600,802000,82490,58650,89190,105700,684300,163600,109200,76520,715600,852500,55320,68420,212200,288200,199600,266900,117000,100100,79480,114400,90160,43400,50390,131800,95040,217100,90220,132500,WPWUFUBLGADILS
4320 | 377.1840mz | 4.06min,,,,,,,,,,,,,,,,,,,,,,,,5370,,,11200,,,,,8475,,,,,,595.2,421.2,,810.9,7827,,,,,,,,,,,,9083,,,,11100,4966,,8370,,376.5,,,433,,653,,,,,,,,,976.5,,,,,9018,,1446,,,,,437.7,,,,,351.7,,,,,,590,,,8089,,,,4754,,10920,,,,
4322 | 249.1084mz | 4.17min,,,,,,,,,,,,,,,,,,,,,6085,,,,361.1,,,,,,,,,,,,5674,,5523,,5197,,,,,,,,,,,,,,,,,,,,,,5351,,,7056,4713,,,,,,,,,,5185,,,,,,,5836,,,,,6392,,,,5455,5690,,,,,,,,,,,,,,,,,,,
4323 | 551.2829mz | 4.15min,,,,,,,,,,,,,,,,,,,,,,,,339.7,,,1501,,,,,989.2,,,,,,,,,,1195,,,,,,,,,,,,1230,,,,1437,590.1,,1116,,,,,,,,,,,,,,,,,,,,,1310,,,,,,,,,,,,,,,,,,,,,911.3,,,,655.2,,1353,,,,
4324 | 166.9592mz | 4.15min,,,,,,,,,,,,901.8,,854.3,897.5,,,1094,,6196,,959.9,,,446.7,919,,,,3226,,,4671,2692,3868,6166,,,,4531,,,6331,,5207,3848,1213,973.3,914.5,1093,3440,3477,,,1904,,,,,,,852.7,,,3833,,,,469.4,,1984,1542,,,,6213,,,,,,,473,,919.8,,434.2,3598,,343.8,1357,456.9,,,,,1856,,,,1208,,,685,1279,,,,,305.8,474.6,,
4330 | 163.9778mz | 4.16min,,,,,,,,,,,,1742,,908,455.1,,,3849,,10730,,1812,,,3020,1967,,,439.9,1951,,,3969,4298,9056,6095,,,,2242,,,5752,,1969,11240,1393,1618,3287,2793,7869,4162,,,3663,,,,,226.9,,1079,,,3089,,,,1857,,2253,6029,,,,2556,,,,,,,1128,,1094,205.1,2022,2547,,315.3,451.7,367.5,,,,,1653,,249.4,,1921,,,1739,1838,,,,,997.9,3293,,
4333 | 197.1286mz | 4.12min,,,,,,,,,,,,,,,,,,,,,7187,,,,,,145.2,,,,214.8,430.2,,,,,5580,,6403,,6447,,,,,,,,,,,,,322.8,,,,333,,,,,7057,,,11920,1439,,,,,,,202.6,,,6366,,,,,169.5,,5343,,,,,7488,,,,5168,9832,,,,,,,,,,,,,,,391.3,,,,
4334 | Methylimidazoleacetic acid | [M + H]+,766.9,249,205.6,,,50290,52700,49100,52550,51730,57370,125900,53970,158900,124000,49030,40530,205600,46090,157100,12430,197500,56520,21030,121800,118800,27150,40450,68050,182900,95910,30760,150400,160400,143400,144700,18330,39540,11980,134800,6387,24690,139500,58350,132100,146900,103100,138500,178300,106800,132300,175500,54090,31090,107600,43330,41940,25080,20020,68390,24290,119000,11460,57620,120300,12620,17720,39470,146000,55890,101100,164800,45350,88780,52100,121000,5703,51830,56240,41050,52290,29740,120400,7208,114600,70430,149300,117700,11470,89020,116900,111400,15950,12090,41460,56640,93000,44170,85510,37640,112700,50270,23630,110500,149500,47810,19160,82440,23460,82150,144100,51570,ZHCKPJGJQOPTLB
4335 | (Ac)2-L-Lys-D-Ala | [M + H]+,,,,,,7314,7535,7439,6121,6921,3434,31980,3498,3583,37510,1510,3683,3537,1697,8892,98940,5892,3221,1890,39900,30420,2622,7193,2113,4059,3465,4617,3820,4639,3575,4774,64860,8055,69480,7782,83420,2668,4833,5550,5278,8945,25320,1623,6912,16900,4874,5338,1634,4942,36920,4332,7950,2733,1455,2207,2659,6832,69870,3617,4991,99630,65560,8117,5487,3251,18950,5922,1848,3471,3684,3287,81030,7481,3684,3986,3304,4593,4124,79780,4430,2190,5070,7198,70790,26890,5276,4540,63920,94250,2115,3417,37620,7953,30820,6768,6626,3031,2510,5097,6210,1352,957.4,3372,2633,36760,5232,7498,GREPICCJTJBJKO
4336 | 275.9608mz | 4.16min,,,,,,,,,,,,4763,,4993,5534,,,11970,,23970,,7170,,,5520,1880,,,1818,11280,,,13190,12780,20530,13850,,,,10140,,,15110,,11200,27870,6061,12560,11320,8449,14360,14040,,,6645,,,,,776.1,,5481,,,16860,,,,8738,,5437,14210,,,,13660,,,,,,,2258,,10210,1006,6157,23360,,1322,4050,1624,,,,,5173,,729.6,,6367,,,2440,6263,,,,,1863,8697,,
4338 | 316.9874mz | 4.16min,,,,,,,,,,,,11060,,9524,8551,,,16440,,32590,,10600,,,8988,4442,,,2876,13460,,,13550,15260,21940,16200,,,,10890,,,16710,,9922,30610,6915,13220,10750,9596,15070,14320,414.1,,7233,,,,,1350,,5769,,,17960,,,,7993,,5929,10900,,,,13630,,,,,,,933.4,,6976,1850,4447,24380,,1548,4742,1150,,,,,5423,,1140,,6177,,,5215,6636,,,,,2636,8955,,
4339 | 293.9713mz | 4.17min,,,,,,,,,,,,13200,,9522,9139,184.5,,18760,,35210,,12400,,,10330,8593,,,4115,14870,,,17730,17800,28820,17900,,,,13330,,,27370,,14930,43030,9499,16510,14840,12590,21350,22690,434.7,,11950,,,,,2544,,9619,,,31270,,,,10570,,9143,20210,,,,23080,,,,,,,6322,,13190,1005,11430,36770,,4820,7094,3676,,,,,9301,,2291,,10460,,,9209,10580,110.6,,,,5444,18170,,
4340 | 88.0393mz | 4.35min,,,,,,,,,,,,5808,,4698,10590,,312.9,1047,,2604,3063,1283,,,14950,6223,,1328,,5321,,99.7,12020,16490,1141,2565,5585,327.9,4150,3903,1625,,15750,209.8,2861,2382,6084,1493,1897,2903,3870,4260,,127.4,10060,241.9,1076,,,,,4500,4046,649.4,6726,5498,2485,207.8,2538,,4047,2906,,,,2519,3189,429.2,422.8,198.7,,,1932,3544,3648,,567.8,2875,2809,4170,891.4,1175,3691,4787,,,3075,296.6,4230,585.8,4379,,,3059,487.1,,,,,3306,443.1,200.4,
4341 | 655.3338mz | 4.16min,,,,,,216.3,,,,,,,,,,513.9,,,,,,,,2116,,,3579,,798,,,3189,,,,,,,,,,2890,339.2,,,,,,,,,,1009,3641,,,,3956,2165,567.9,3118,,,,374.6,,,,,,,,,,,784.1,,,,,,3290,,,,687.8,,,,,833.6,,,,,,,,,,1011,,2652,666.8,,227.1,1891,,4111,,,,
4342 | 205.0043mz | 4.21min,,,,,,158,1457,862.5,196.6,1117,281.9,28060,963.8,21830,24100,2668,196,33000,797.3,47380,238.9,26570,690.5,,21700,22250,,258.9,12300,27030,2511,,27620,25720,35520,30540,,523.4,,23620,,,32420,591.3,23030,39540,20810,26020,24530,22170,28340,27240,789.8,,20830,189.4,422.5,,,4009,,18960,,140.5,30960,206.5,,157.7,18260,242.9,19560,24270,575,539.6,212.1,28390,,241.3,130.2,,199.7,,12610,,10870,8531,21730,34110,,12950,16710,12950,,,319.6,,17250,273.5,13270,,21950,220.1,,19880,20940,1617,,331.7,,13520,21620,559.5,
4344 | 497.2358mz | 4.16min,,,,,,288.3,257.8,,,,1707,,1053,,,,2786,,223.9,,,,883.1,,,,,2963,,,1453,,,,,,,2944,,,,,,,,,,,,,,,,,,3267,3254,,,,,,,1705,,,,3025,,1240,,,615.9,1193,656.8,,,,1827,3138,858,,,,,,,,,,,,,,457.4,,,3344,,2742,,789,,,,,,1354,,,,,
4346 | 204.0080mz | 4.20min,,,,,,,384.3,349.9,498.5,299.8,120.9,25670,223.2,21000,21490,1289,196,28600,607.7,39950,,23210,484.1,,20050,19170,,,9953,22970,1087,,24080,25950,31490,27300,,805.5,,21180,,,27790,270.8,20920,35410,17950,22840,22690,20170,25950,24220,768.8,,19580,219.3,242.4,,,8152,,11040,,176.7,28610,,,,11110,233.5,16840,23240,260.9,217,156.8,23620,,309.5,,,204.1,,7995,,14890,8118,5712,30420,,1544,14070,6016,,,144.9,,13120,,10350,,18530,548.3,,16110,18460,936.8,,203.4,,7314,15390,239.7,
4347 | 386.1673mz | 4.16min,,,,,,1236,1042,1495,1440,861.1,1630,,2611,,,,2551,,1562,,6592,,1882,939.8,,,806.5,6987,206.4,,3082,2467,,,,,3264,6304,2402,,3561,1226,,1109,,339.7,,,,457.1,,,,2687,,2877,6885,1000,980.2,202.8,1287,,2637,1866,,6346,4322,6018,,2513,438.3,,1694,3108,2277,,3088,972.2,1613,3192,2280,2138,410.8,3583,,,,678.2,2774,,,,4186,5342,1494,,1495,7977,875.2,5534,825.9,2145,945.7,378,,364.4,869.6,3301,884,386.2,,1112,
4348 | 208.9869mz | 4.17min,,,,,,,,,,,,2958,,511.5,1334,,,1076,,1118,,1985,,,2924,848.9,,,235.7,2246,,,2289,2562,6844,800.3,,,,3039,,,5300,,2329,11540,1268,739,2228,958,4875,1416,141.8,,1519,,,,,174.8,,418.4,,,3884,,,,912.9,,1840,3825,,,,3190,,,,,,,391.3,,1704,258,824.4,7157,,,686.8,306.5,,,,,1165,,317.1,,865.5,,,748.5,770.8,,,,,1069,389.9,,
4350 | 209.9832mz | 4.17min,,,,,,,,,,,,2493,,830.9,1043,,,4018,,14090,,4598,,,3050,2750,,,755.5,3399,,,4164,1220,11800,6782,,,,5028,,,6258,,774.6,3031,3341,534.9,1068,3563,6095,6130,126,,4409,,,,,218.6,,2071,,,9208,,,,1302,,2758,3210,,,,4169,,,,,,,747.7,,494.3,192.5,1106,6158,,382.9,1102,210.8,,,,,2632,,385,,1259,,,2624,459.3,165.7,,,,637.1,2208,,
4351 | 207.0017mz | 4.19min,,,,,,,161.2,303,167.6,171.5,,21820,441.9,6011,1742,1805,,24200,195.1,34630,,18960,351.5,,17460,15440,,,8811,21810,1151,,19810,20760,27690,23230,,,,18330,,,24590,264.5,12850,29410,11410,19520,19020,17210,22530,20520,781.6,,14150,288.5,,,,5474,,10390,,,25300,,,,8563,368.2,12600,20310,308.2,199.5,190.2,21490,,,,,170.4,,7240,,9868,6724,14550,27790,,3188,9773,1733,,,,,12130,,6140,,10210,154.3,,12510,8113,345.1,,154.5,,4844,16260,166.8,
4352 | 383.2292mz | 4.18min,,,,,,518.6,456.6,525.6,247.4,536.3,1575,,985.5,,,,570.1,,187,,7528,,269.7,317.5,,,1115,240,,,219.8,398.8,,,,,5595,304,9555,,9928,613.6,,,,,422.2,,,,,,,1457,,910.5,318.4,1078,169.1,192.6,1060,,8905,237.7,,9702,5573,575.7,,489.2,696.3,,,241.4,332.8,,9351,469.3,247.2,1010,286.4,1300,,9950,,,,,6984,,291.1,,2725,9786,,,,956.4,392.3,257.6,,258.3,869.2,,,,152.6,547.6,876,328.2,,273.3,
4353 | 445.1819mz | 4.17min,,,,,,,,,,,,7264,,,9305,,,,,,,,,,10190,8505,,,,,,,,,,,,,,558.1,,,,,,,12660,,,6537,,,,,11780,,,,,,,847.4,,,,,,,,,8032,,,,,,,,,,,,,299.8,,,,,,8588,,,,,,566.4,11670,,9118,,,,,,,,,,,12820,,,
4356 | 472.2771mz | 4.13min,,,,,,216.2,,,,198.7,,,1067,,,,840,,661.2,,,,1254,751.5,,,853.5,618.2,,,543.2,981.1,,,,,,332.9,,,,714.6,,,,,,,,,,,,1049,,,1440,937.5,515.1,,680,,224,,,,,295.8,,2022,,,512.4,981.5,1986,,,,,309.8,1879,1101,,,,,,325.1,,,,,256.3,,675.6,,,785.8,,307.7,,1597,915.2,,,,408,1730,926.1,,,,
4357 | 368.9588mz | 4.16min,,,,,,,,,,,,394.6,,,396.6,,,2526,,5757,,838.1,,,,378.6,,,,3271,,,505.1,1296,3043,923.6,,,,1794,,,3002,,611,5962,384.8,871.2,1215,406.7,2491,2957,,,380.1,,,,,,,383.5,,,3020,,,,563.8,,,2597,,,,2066,,,,,,,,,,,,1685,,,,,,,,,,,,,338.5,,,,,,,,,,360.2,,
4358 | 141.1023mz | 4.19min,,,,,,177.1,186.8,,,,,1631,,,1372,,,,,,3110,,,711.2,4519,2688,1441,,441.2,,,1287,,,368,,3038,,3363,845.4,3097,825,,,,,6446,,,2579,372.2,,199,1770,4867,166.1,,1977,770.3,222.3,969.5,441.2,2437,,390.2,3804,3206,,,,5046,,,149.3,132.3,334.5,3654,,,,,1729,,3785,,,,,3731,2227,1438,,1944,1872,,,3739,,6224,,785.6,,680.2,780.3,,131.6,1017,,1725,4834,,188,
"4359 | Hexanamide, N-[(1S,2R,3E)-2-hydroxy-1-(hydroxymethyl)-3-heptadecen-1-yl]-6-[(7-nitro-2,1,3-benzoxadiazol-4-yl)amino]- | [M + Na]+",,,,,,689.1,492.9,580.4,718.4,740.2,,,,,,,,,,,,,,14280,,,20420,,,,,24050,,,,,,,,,,18710,,282.8,,,,,,,,,,25830,,,,22800,14970,,21460,,,,,,,,,,,,,,,,,879.3,,,,24990,,,,,,,,,,,,,,,,,,,,,20330,,,,14220,,21040,,,502.9,HZIRBXILQRLFIK
4360 | 460.2228mz | 4.17min,,,,,,,,,,,,,,,,,,,,,,,,2207,,,4481,,,,,5146,,,,,,,,,,3348,,,,,,,,,,,,5412,,,,4624,2273,,3976,,,,,,,,,,,,,,,,,,,,,5275,,,,,,,,,,,,,,,,,,,,,3547,,,,1996,,4549,,,,
4361 | 622.2865mz | 4.17min,,,,,,,,,,,217,,275.2,,,,1546,,172,,,,227.7,,,,,1661,,,557.1,,,,,,,1700,,,,,,,,,,,,,,,,,,1714,1962,,,,,,,520.8,,,,1827,,478.7,,,441.9,675.5,468.2,,,,616.8,2060,264.5,,,,,,,,,,,,,,,,,1950,,1416,,863,,,,,,599.9,,,,,
4362 | 561.2705mz | 4.17min,,,,,,,,,,,,,,,,,,,,,,,,644.3,,,1204,,,,,2612,,,,,,,,,,1310,,,,,,,,,,,,2603,,,,1487,825.1,,1450,,,,,,,,,,,,,,,,,,,,,2460,,,,,,,,,,,,,,,,,,,,,1393,,,,757.7,,1162,,,,
4365 | 452.2145mz | 4.17min,,,,,,1104,755.2,879.9,465.9,1121,1011,,508.5,,,648,857.1,,247.6,,5219,,256.2,621.9,,,1364,1414,203.2,,1781,1745,,,,,5225,1107,3421,,2470,616.7,,568.7,,,,,,,,,188,1530,,884.2,928.4,1068,628.7,,435.6,,3508,1139,,4676,5557,452.2,,1147,,,770.8,2054,,,2020,265.6,1102,1613,,1907,,2346,,,,,3631,,294.8,,5713,5684,180.7,,,1029,,1166,,1303,853,,,,385.6,1995,875.4,677.7,,918.6,
4366 | 158.0813mz | 4.08min,,,,,,235.4,169.6,334.5,682.4,367.8,344.3,3839,1796,2173,2171,224.9,408.6,6677,2322,4034,696.7,3885,2054,1345,2802,1709,822.5,489,642.6,4758,3257,1652,2176,1480,1921,2078,2021,888,678.3,4078,336.4,1846,2404,1040,3273,4293,2890,2441,4474,4086,3356,4398,995.6,2137,3613,1546,829.4,2500,1548,822.8,1573,2665,984.8,1819,3628,1011,1648,244.1,3185,2326,1306,5056,1585,3118,2001,3675,343.2,783.1,1199,1176,1966,1455,1004,1014,1729,590.2,4896,2839,1319,1932,1985,1369,1458,1282,1890,963.8,2888,839.9,1838,793.8,1408,1865,1584,1676,4966,1084,1154,3022,3163,2326,4975,1287,
4367 | 184.9697mz | 4.19min,,,,,,,,,156.4,,,10670,,597.4,10570,159.3,,18690,202.6,23030,,5007,,,12770,1528,,,2061,10340,593.1,,9014,4265,22590,19700,,,,10630,,,21300,254.6,12380,26990,12920,3709,15690,13480,19830,12630,490.4,,10520,,,,,2866,,10590,,,21930,,,,5596,181.9,13850,13440,154,219,172.8,20790,,,,,143.5,,3253,,7324,6654,7323,26200,,5824,11430,3771,,,,,10040,,4746,,13680,188.8,,13230,1084,234.7,,166,,2564,16970,307.2,
4368 | 140.0692mz | 4.04min,,,,,,13510,15050,1859,21400,20850,1393,17560,2308,6158,4211,27910,2512,11910,2087,13880,21420,4523,2046,18180,1926,2785,46880,2832,14470,4399,24270,5548,5726,5290,13340,2738,19610,47700,15660,2721,476.8,65540,12970,2183,5218,8448,6187,5102,5617,3229,2997,4736,2482,43950,2970,55830,37670,13020,81710,22570,53920,17250,17370,2467,3682,27490,12880,2991,11540,24270,983.4,10630,2018,8650,38180,2898,,20410,1984,2466,54270,13330,5542,,4526,2670,4594,17410,482.7,18660,3347,6033,2175,6191,54010,26570,2611,23030,16390,2762,3307,2727,78730,3956,4514,23000,70330,9078,25450,5337,18030,12320,
4369 | 260.9584mz | 4.16min,,,,,,,,,,,,915.2,,444.6,820.9,,,964,,7535,,2553,,,1411,466,,,,1026,,,1131,3807,2273,3456,,,,426.7,,,2230,,537.2,7325,1847,961.1,3321,967.5,1189,1335,,,1194,,,,,133.3,,460.9,,,2924,,,,1327,,403.8,3549,,,,1673,,,,,,,323.4,,489.2,,724.5,4873,,208.4,632.3,,,,,,376.3,,,,1172,,,633.5,2604,,,,,288.1,431.3,,
4370 | 277.9679mz | 4.19min,,,,,,,,,,,,1215,324.1,,952,,,480.3,196,6479,,478.4,,,540.1,497.6,,,192.4,493.5,211.5,,414.2,466.2,3472,856.6,,,,405,,,3020,,437,1425,1238,290.8,390.1,833.8,487.4,366.2,155,,892.1,,,,,223.6,,459.9,,,685.5,,,,406.8,,742.3,415.8,149.7,,,455.9,,,,,,,,,,214.2,,1619,,701.4,307.3,,,,,,1191,,390.2,,1112,,,628.8,289.4,242.1,,,,365.6,313.7,,
4371 | 345.9426mz | 4.16min,,,,,,,,,,,,,,,,,,1406,,5227,,422.5,,,,,,,,586.3,,,499.9,524.4,4279,714.6,,,,1844,,,2439,,491.8,7169,417.8,1353,1013,541.8,3322,546.4,,,765.4,,,,,,,318.2,,,2306,,,,366.8,,386.2,1899,,,,430.3,,,,,,,,,370.2,,346,5233,,,,,,,,,,,,,337.9,,,304,382.1,,,,,,724.2,,
4372 | 530.2937mz | 4.18min,,,,,,,,,,,1378,,285.6,,,,2090,,180.1,,,,,114,,,307.1,2523,,,288.2,448.5,,,,,,2233,406.8,,1259,362,,,,,,,,,,,,527.2,,2067,2782,275,248.6,,391.9,,878.9,1812,,311.5,,2328,,283.2,,,204.6,410.1,766.2,,688.8,,1844,2645,199,475,,649.6,,,,,352.7,,,,268.7,327.5,186.7,,,2910,,2572,,268.3,301.9,,,,387.6,708.4,434.9,,,,
4373 | Pro-Ser | [M + H]+,,,,,,32170,33620,33590,33520,33290,18570,20750,28140,6948,25440,3422,20390,7045,16650,23890,291500,3493,26440,11570,24860,22750,19170,44300,3994,5974,31210,31970,3812,1903,20360,16290,215300,44820,211300,16650,251300,15590,17670,31810,3004,22880,28030,3520,5698,23780,20190,7568,3524,32490,25590,20430,46050,18190,11060,4271,16660,15030,209900,18730,18380,284200,216400,41870,4687,27930,23550,3912,16180,30680,25860,16460,245000,33310,19030,22040,25970,30770,7421,256400,3490,4829,4665,22300,214700,18510,15520,4134,222600,288700,16930,4080,24300,48750,20700,42990,19060,28010,15240,18520,4898,1924,10470,29740,17390,23350,2318,32440,AFWBWPCXSWUCLB
4375 | 291.1636mz | 4.17min,,,,,,970.2,1749,715.3,588.3,1293,8966,,2314,,,193.3,8303,,1607,,,,2817,,,,,7422,269.2,,5308,176.2,,,,,,5441,,,,,,1774,894.9,,,,,,,,217.6,,,7419,4704,,,261.8,,,,9515,,,,6260,,2429,,,2512,5119,4228,,,1639,9954,8295,4102,,,,,232.4,,,,,,429.9,,,3325,254.8,,4626,,7573,,2430,,,376.7,244.4,,4772,,,,1787,
4377 | 318.9851mz | 4.16min,,,,,,,,,,,,,,,,,,,,3114,,,,,,,,,,,,,,,815.9,415.7,,,,,,,1066,,,980.9,,,,,726.8,,,,,,,,,,,,,,1320,,,,,,,396.5,,,,619.4,,,,,,,,,,,,366.8,,,,,,,,,,,,,,,,,,,,,,,340.7,,
4380 | 220.1011mz | 4.24min,,,,,,2344,1772,2199,2675,1923,,21020,,,7558,,,,,,4989,,,,9419,3948,,,,,,,,,,,5682,,5972,4012,4187,,,2368,,,6658,,,20470,,,,,34830,,,,,,,7201,5325,,,11380,5552,,,,4207,,,,,,5595,2274,,,,,,5619,,,,,5269,16900,,,6062,10210,,3307,6897,,18320,,,,,,,,,,,8156,,2093,
4381 | 295.9690mz | 4.16min,,,,,,,,,,,,,,,,,,,,2522,,,,,,,,,,346,,,,460.1,1611,852.8,,,,394.2,,,2579,,,1364,,,402.6,,861.9,413,,,,,,,,,,,,,2119,,,,,,,358.3,,,,329.9,,,,,,,,,,,,5000,,,,,,,,,348.4,,,,298.9,,,,,,,,,,340.3,,
4383 | 306.2026mz | 4.18min,,,,,,1502,1237,1092,1180,1576,279.8,3924,1033,27790,7814,1094,1509,24670,392.2,8763,,29420,1476,,7242,8318,,,1981,24860,897.2,,21890,21020,2188,7005,,1122,,13390,,,6141,2967,18890,7982,5603,20420,23250,7131,5724,20600,1833,,5199,2425,916,,,2401,,11680,,431.6,4353,,,273.8,26750,1690,4779,18330,533.1,527.5,1682,7069,,1813,582.1,1443,1418,,24390,,19520,2270,19940,5037,,5549,5990,17990,,,190,4051,3858,348.8,3744,283.8,5337,898.9,,5663,18160,1243,,247.2,,3858,20280,1632,
